Year,Name of test,Descriptor,Geographical region,Sex,Value
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 2-3,Total,62.0
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 2-3,Total,75.6
2022,Percentage of children who successfully completed tasks of Addition,,Grade 2-3,Total,59.2
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 2-3,Total,37.4
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 2-3,Total,28.9
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 6,Male,86.6
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 6,Male,94.5
2022,Percentage of children who successfully completed tasks of Addition,,Grade 6,Male,80.1
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 6,Male,69.7
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 6,Male,65.3
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 6,Female,94.4
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 6,Female,93
2022,Percentage of children who successfully completed tasks of Addition,,Grade 6,Female,76.8
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 6,Female,74.9
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 6,Female,62.1
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 6,Total,90.4
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 6,Total,93.8
2022,Percentage of children who successfully completed tasks of Addition,,Grade 6,Total,78.5
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 6,Total,72.2
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 6,Total,63.7
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 9/ 3rd Form,Male,(96.8)
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 9/ 3rd Form,Male,(97.0)
2022,Percentage of children who successfully completed tasks of Addition,,Grade 9/ 3rd Form,Male,(82.9)
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 9/ 3rd Form,Male,(72.4)
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 9/ 3rd Form,Male,(66.0)
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 9/ 3rd Form,Female,(98.2)
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 9/ 3rd Form,Female,(98.7)
2022,Percentage of children who successfully completed tasks of Addition,,Grade 9/ 3rd Form,Female,(96.5)
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 9/ 3rd Form,Female,(86.6)
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 9/ 3rd Form,Female,(84.8)
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 9/ 3rd Form,Total,97.6
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 9/ 3rd Form,Total,97.9
2022,Percentage of children who successfully completed tasks of Addition,,Grade 9/ 3rd Form,Total,90.7
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 9/ 3rd Form,Total,80.5
2022,Percentage of children who demonstrate foundational numeracy skills,,Grade 9/ 3rd Form,Total,76.8
