Financial soundness indicators,Financial soundness indicators-deposit-taking institution,Institution Type,Value,Year
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,5.8,2021
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,6.6,2022
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,Life Insurance,6.2,2023
Financial soundness indicators,Receivables to gross premiums,Life Insurance,62.5,2015
Financial soundness indicators,Receivables to gross premiums,Life Insurance,61.7,2016
Financial soundness indicators,Receivables to gross premiums,Life Insurance,85.5,2018
Financial soundness indicators,Receivables to gross premiums,Life Insurance,76.6,2019
Financial soundness indicators,Receivables to gross premiums,Life Insurance,90.5,2020
Financial soundness indicators,Receivables to gross premiums,Life Insurance,62,2021
Financial soundness indicators,Receivables to gross premiums,Life Insurance,73.5,2022
Financial soundness indicators,Receivables to gross premiums,Life Insurance,79.5,2023
Financial soundness indicators,Equities to total assets,Life Insurance,1.9,2015
Financial soundness indicators,Equities to total assets,Life Insurance,2.6,2016
Financial soundness indicators,Equities to total assets,Life Insurance,3.2,2018
